Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Meta: dimensions,Meta: ean
variation,MU01000610,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,47,Size,3XL,,1,,Color,Sky blue,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500950
variation,MU01007510,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,48,Size,4/6,,1,,Color,Sky blue,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501094
variation,MU01007610,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,49,Size,8/10,,1,,Color,Sky blue,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501230
variation,MU01007710,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_10_2_1.jpg,MU0100,50,Size,12/14,,1,,Color,Sky blue,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501377
variation,MU010000176,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,51,Size,XS,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500127
variation,MU010001176,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,52,Size,S,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500264
variation,MU010002176,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,53,Size,M,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500400
variation,MU010003176,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,54,Size,L,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500547
variation,MU010004176,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,55,Size,XL,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500684
variation,MU010005176,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,56,Size,2XL,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500820
variation,MU010006176,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,57,Size,3XL,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500967
variation,MU010075176,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,58,Size,4/6,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501100
variation,MU010076176,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,59,Size,8/10,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501247
variation,MU010077176,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_176_2_1.jpg,MU0100,60,Size,12/14,,1,,Color,Fluor turcoaz,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501384
variation,MU010000221,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,MU0100,61,Size,XS,,1,,Color,Galben fluor,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500134
variation,MU010001221,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,MU0100,62,Size,S,,1,,Color,Galben fluor,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500271
variation,MU010002221,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,MU0100,63,Size,M,,1,,Color,Galben fluor,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500417
variation,MU010003221,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,MU0100,64,Size,L,,1,,Color,Galben fluor,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500554
variation,MU010004221,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_221_2_1.jpg,MU0100,65,Size,XL,,1,,Color,Galben fluor,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500691
